android.widget.TextView     |||     180*49     |||     [[679, 704], [859, 753]]     |||     银河奇异果
android.widget.TextView     |||     -5687*70     |||     [[6767, 1618], [1080, 1688]]     |||     银河奇异果

android.widget.TextView     |||     72*49     |||     [[163, 1841], [235, 1890]]     |||     设置
android.widget.TextView     |||     254*70     |||     [[795, 1359], [1049, 1429]]     |||     设置

android.widget.TextView     |||     -4861*70     |||     [[5941, 841], [1080, 911]]     |||     文件管理
android.widget.TextView     |||     -270*49     |||     [[0, 1027], [-270, 1076]]     |||     文件管理

android.widget.TextView     |||     -5687*70     |||     [[6767, 323], [1080, 393]]     |||     闲鱼
android.widget.TextView     |||     -505*49     |||     [[0, 1027], [-505, 1076]]     |||     闲鱼

android.widget.TextView     |||     -965*52     |||     [[2045, 134], [1080, 186]]     |||     1
android.widget.TextView     |||     -1283*52     |||     [[2363, 393], [1080, 445]]     |||     1

android.widget.TextView     |||     -487*49     |||     [[0, 795], [-487, 844]]     |||     扫一扫
android.widget.TextView     |||     -884*49     |||     [[0, 795], [-884, 844]]     |||     扫一扫

android.widget.TextView     |||     -270*49     |||     [[0, 1027], [-270, 1076]]     |||     文件管理
android.widget.TextView     |||     -4861*70     |||     [[5941, 841], [1080, 911]]     |||     文件管理

android.widget.TextView     |||     -288*49     |||     [[0, 795], [-288, 844]]     |||     付款码
android.widget.TextView     |||     -686*49     |||     [[0, 795], [-686, 844]]     |||     付款码

android.widget.TextView     |||     -884*49     |||     [[0, 795], [-884, 844]]     |||     扫一扫
android.widget.TextView     |||     -487*49     |||     [[0, 795], [-487, 844]]     |||     扫一扫

android.widget.TextView     |||     -2447*70     |||     [[3527, 582], [1080, 652]]     |||     应用商店
android.widget.TextView     |||     -668*49     |||     [[0, 1027], [-668, 1076]]     |||     应用商店

android.widget.TextView     |||     -668*49     |||     [[0, 1027], [-668, 1076]]     |||     应用商店
android.widget.TextView     |||     -2447*70     |||     [[3527, 582], [1080, 652]]     |||     应用商店

android.widget.TextView     |||     -505*49     |||     [[0, 1027], [-505, 1076]]     |||     闲鱼
android.widget.TextView     |||     -5687*70     |||     [[6767, 323], [1080, 393]]     |||     闲鱼

android.widget.TextView     |||     -686*49     |||     [[0, 795], [-686, 844]]     |||     付款码
android.widget.TextView     |||     -288*49     |||     [[0, 795], [-288, 844]]     |||     付款码

android.widget.TextView     |||     -4607*70     |||     [[5687, 323], [1080, 393]]     |||     游戏
android.widget.TextView     |||     56*38     |||     [[311, 2046], [367, 2084]]     |||     游戏

android.widget.TextView     |||     -2363*52     |||     [[3443, 393], [1080, 445]]     |||     2
android.widget.TextView     |||     36*36     |||     [[964, 1976], [1000, 2012]]     |||     2

android.widget.TextView     |||     -4861*70     |||     [[5941, 323], [1080, 393]]     |||     推荐
android.widget.TextView     |||     320*96     |||     [[380, 223], [700, 319]]     |||     推荐

android.widget.TextView     |||     414*62     |||     [[333, 1353], [747, 1415]]     |||     获取设备的定位信息
android.widget.TextView     |||     414*62     |||     [[333, 1208], [747, 1270]]     |||     获取设备的定位信息

android.widget.TextView     |||     80*80     |||     [[500, 2002], [580, 2082]]     |||     1
android.widget.TextView     |||     -965*52     |||     [[2045, 134], [1080, 186]]     |||     1

